country,rate
Afghanistan,115.2
Albania,178.3
Algeria,123.5
Angola,100.8
Argentina,216.7
Armenia,257.0
Australia,323.0
Austria,254.1
Azerbaijan,141.9
Bahamas,208.9
Bahrain,112.4
Bangladesh,104.4
Barbados,263.1
Belarus,218.7
Belgium,321.1
Belize,160.7
Benin,94.3
Bhutan,79.2
Bolivia143.9
Bosnia and Herzegovena,161.1
Botswana,107.6
Brazil,205.5
Brunei Darussalam,163.2
Bulgaria,234.8
Burkina Faso,88.2
Burundi,135.8
Cabo Verde,74.9
Cambodia,140.4
Cameroon,97.6
Canada,295.7
Central African Republic,92.9
Chad,88.1
Chile,175.7
China,174.0
Colombia,160.6
Comoros,101.5
Congo,107.8
Costa Rica,179.3
Croatia,266.9
Cuba,218.0
Cyprus,204.7
Czech Republic,293.8
Côte d'Ivoire,89.0
Democratic People’s Republic of Korea,181.2
Democratic Republic of the Congo,88.2
Denmark,338.1
Djibouti,92.7
Dominican Republic,153.4
Ecuador,164.5
Egypt,152.0
El Salvador,153.4
Equatorial Guinea,86.4
Eritrea,101.7
Estonia,242.8
Ethiopia,108.0
Fiji,139.1
Finland,256.8
France,303.5
Gabon,90.2
The Gambia,68.2
Georgia,181.0
Germany,283.8
Ghana,91.7
Greece,163.0
Guatemala,130.4
Guinea,90.0
Guinea-Bissau,83.1
Guyana,165.9
Haiti,106.9
Honduras,131.2
Hungary,285.4
Iceland,284.3
India,94.0
Indonesia,133.5
Iran,127.7
Iraq,135.3
Ireland,307.9
Israel,283.2
Italy,278.6
Jamaica,198.5
Japan,217.1
Jordan,155.4
Kazakhstan,236.5
Kenya,181.8
Korea,307.8
Kuwait,102.1
Kyrgyzstan,137.6
Lao People’s Democratic Republic.141.8
Latvia,246.8
Lebanon,197.4
Lesotho,103.0
Liberia,89.2
Libya,124.1
Lithuania,251.9
Luxembourg,280.3
Madagascar,137.5
Malawi,156.0
Malaysia,143.6
Maldives,88.9
Mali,111.4
Malta,242.9
Mauritania,85.7
Mauritius,180.2
Mexico,131.5
Mongolia,200.9
Montenegro,238.3
Morocco,117.8
Mozambique,136.8
Myanmar,140.5
Namibia,82.7
Nepal,85.2
Netherlands,304.8
New Zealand,295.0
Nicaragua,114.4
Niger,63.4
Nigeria,100.1
Norway,318.3
Oman,82.1
Pakistan,111.8
Panama,148.4
Papua New Guinea,165.2
Paraguay,147.5
Peru,154.5
Philippines,140.0
Poland,229.6
Portugal,246.2
Puerto Rico,211.1
Qatar,108.8
Republic of Moldova,194.1
Romania,224.2
Russia,204.3
Rwanda,135.8
Samoa,92.7
Saudi Arabia,91.1
Senegal,101.2
Serbia,269.7
Sierra Leone,92.3
Singapore,206.4
Slovakia,276.9
Slovenia,296.3
Solomon Islands,116.3
Somalia,139.1
South Africa,187.1
South Sudan,132.7
Spain,249.0
Sri Lanka,94.8
Sudan,91.1
Suriname,159.6
Swaziland,115.3
Sweden,270.0
Switzerland,287.0
Syrian Arab Republic,145.9
Tajikistan,119.1
Thailand,137.5
The former Yugoslav Republic of Macedonia,239.3
Timor-Leste,165.4
Togo,91.1
Trinidad and Tobago,210.9
Tunisia,110.6
Turkey,205.1
Turkmenistan,144.0
Uganda,169.7
Ukraine,192.9
United Arab Emirates,92.5
United Kingdom,272.9
United Republic of Tanzania,123.7
United States,318.0
Uruguay,251.0
Uzbekistan,99.7
Vanuatu,107.8
Venezuela,150.0
Viet Nam,140.4
West Bank and Gaza Strip,145.7
Yemen,80.4
Zambia,136.2
Zimbabwe,190.3